date, pm25, pm10, o3, no2, co
2018/11/21, 151, 108, 35, 139, 51
2018/11/22, 166, 138, 31, 186, 60
2018/11/23, 278, 142, 32, 206, 91
2018/11/24, 289, 128, 36, 157, 73
2018/11/25, 238, 126, 41, 149, 80
2018/11/26, 231, 142, 33, 196, 88
2018/11/27, 287, 139, 28, 201, 81
2018/11/28, 278, 137, 25, 204, 77
2018/11/29, 273, 136, 37, 197, 53
2018/11/30, 267, 136, 38, 183, 39
2018/12/1, 266, 144, 45, 197, 62
2018/12/2, 294, 150, 29, 185, 57
2018/12/3, 305, 147, 18, 195, 65
2018/12/4, 302, 146, 55, 182, 68
2018/12/5, 302, 121, 105, 103, 54
2018/12/6, 213, 110, 122, 92, 54
2018/12/7, 173, 101, 87, 100, 37
2018/12/8, 103, 80, 63, 72, 20
2018/12/9, 75, 75, 73, 66, 44
2018/12/10, 68, 99, 63, 93, 80
2018/12/11, 89, 107, 76, 104, 90
2018/12/12, 98, 96, 30, 115, 82
2018/12/13, 82, 118, 21, 199, 88
2018/12/14, 120, 130, 29, 184, 64
2018/12/15, 156, 139, 47, 186, 40
2018/12/16, 177, 136, 73, 172, 21
2018/12/17, 159, 137, 84, 172, 22
2018/12/18, 160, 137, 43, 178, 63
2018/12/19, 160, 137, 43, 68, 58
2018/12/20, 160, 134, 4, 110, 100
2018/12/21, 158, 135, 4, 83, 101
2018/12/22, 160, 135, 4, 59, 101
2018/12/23, 160, 133, 5, 116, 73
2018/12/24, 162, 133, 5, 404, 43
2018/12/25, 166, 133, 16, 251, 49
2018/12/26, 166, 112, 38, 126, 106
2018/12/27, 108, 131, 35, 212, 108
2018/12/28, 153, 140, 5, 231, 115
2018/12/29, 176, 141, 6, 233, 115
2018/12/30, 178, , , , 
2018/7/1, 52, 38, 20, 44, 37
2018/7/2, 46, 39, 20, 44, 37
2018/7/3, 48, 44, 15, 47, 39
2018/7/4, 55, 36, 15, 54, 42
2018/7/5, 45, 34, 17, 56, 41
2018/7/6, 42, 39, 20, 51, 37
2018/7/7, 48, 30, 21, 47, 38
2018/7/8, 37, 30, 16, 46, 40
2018/7/9, 37, 34, 18, 51, 39
2018/7/10, 42, 34, 16, 47, 34
2018/7/11, 42, 34, 16, 46, 36
2018/7/12, 42, 32, 15, 51, 43
2018/7/13, 40, 31, 12, 54, 48
2018/7/14, 39, 28, 11, 29, 53
2018/7/15, 35, 27, 9, 25, 59
2018/7/16, 34, 26, 10, 28, 59
2018/7/17, 33, 31, 10, 29, 59
2018/7/18, 39, 34, 18, 27, 54
2018/7/19, 42, 36, 18, 26, 51
2018/7/20, 44, 36, 19, 28, 52
2018/7/21, 45, 37, 17, 30, 53
2018/7/22, 46, 43, 12, 28, 54
2018/7/23, 53, 39, 11, 27, 53
2018/7/24, 48, 39, 11, 28, 54
2018/7/25, 48, 43, 16, 25, 43
2018/7/26, 52, 42, 20, 24, 44
2018/7/27, 51, 43, 23, 23, 44
2018/7/28, 52, 46, 24, 22, 39
2018/7/29, 56, 50, 25, 22, 43
2018/7/30, 60, 54, 22, 24, 54
2018/7/31, 65, 68, 23, 24, 53
2018/8/1, 83, 71, 23, 24, 55
2018/8/2, 87, 57, 20, 25, 53
2018/8/3, 69, 40, 17, 23, 47
2018/8/4, 49, 37, 20, 23, 46
2018/8/5, 45, 41, 22, 21, 40
2018/8/6, 50, 37, 21, 22, 41
2018/8/7, 45, 38, 22, 23, 53
2018/8/8, 46, 40, 19, 23, 53
2018/8/9, 48, 38, 19, 22, 53
2018/8/10, 46, 34, 18, 22, 53
2018/8/11, 42, 30, 18, 22, 51
2018/8/12, 37, 25, 18, 24, 54
2018/8/13, 31, 22, 15, 24, 54
2018/8/14, 27, 26, 15, 24, 54
2018/8/15, 31, 34, 20, 22, 54
2018/8/16, 41, 30, 23, 22, 51
2018/8/17, 36, 31, 23, 22, 51
2018/8/18, 38, 29, 20, 23, 50
2018/8/19, 36, 26, 18, 22, 53
2018/8/20, 31, 24, 15, 25, 56
2018/8/21, 29, 22, 11, 29, 58
2018/8/22, 28, 25, 16, 27, 55
2018/8/23, 31, 28, 17, 25, 50
2018/8/24, 34, 28, 9, 27, 49
2018/8/25, 34, 28, 9, 28, 51
2018/8/26, 34, 26, 14, 28, 51
2018/8/27, 33, 37, 13, 30, 53
2018/8/28, 46, 46, 15, 29, 48
2018/8/29, 57, 45, 25, 26, 43
2018/8/30, 56, 41, 25, 23, 42
2018/8/31, 51, 39, 27, 25, 40
2018/9/1, 48, 35, 28, 27, 37
2018/9/2, 43, 25, 17, 27, 39
2018/9/3, 31, 30, 11, 24, 40
2018/9/4, 36, 34, 18, 28, 38
2018/9/5, 42, 37, 31, 113, 35
2018/9/6, 45, 39, 32, 176, 35
2018/9/7, 48, 39, 32, 57, 35
2018/9/8, 48, 39, 32, 57, 35
2018/9/9, 48, 39, 32, 57, 35
2018/9/10, 48, 54, 43, 61, 48
2018/9/11, 65, 58, 43, 62, 52
2018/9/12, 69, 58, 43, 62, 52
2018/9/13, 69, 38, 26, 54, 41
2018/9/14, 44, 39, 26, 48, 42
2018/9/15, 45, 39, 26, 48, 42
2018/9/16, 45, 50, 38, 60, 51
2018/9/17, 59, 50, 38, 60, 52
2018/9/18, 59, 54, 23, 60, 48
2018/9/19, 64, 61, 24, 64, 50
2018/9/20, 73, 71, 52, 78, 46
2018/9/21, 84, 75, 53, 61, 36
2018/9/22, 89, 75, 42, 52, 31
2018/9/23, 89, 64, 34, 47, 33
2018/9/24, 76, 68, 43, 57, 37
2018/9/25, 81, 80, 48, 76, 46
2018/9/26, 99, 97, 50, 98, 43
2018/9/27, 129, 94, 26, 109, 49
2018/9/28, 125, 92, 32, 111, 54
2018/9/29, 116, 94, 24, 105, 55
2018/9/30, 119, 94, 24, 104, 51
2018/4/1, 93, 92, 50, 86, 45
2018/4/2, 119, 101, 34, 59, 47
2018/4/3, 141, 103, 34, 46, 40
2018/4/4, 146, 106, 45, 56, 34
2018/4/5, 157, 111, 38, 54, 27
2018/4/6, 175, 120, 45, 52, 28
2018/4/7, 208, 123, 45, 53, 28
2018/4/8, 220, 123, 40, 50, 26
2018/4/9, 218, 103, 127, 46, 28
2018/4/10, 147, 99, 127, 48, 26
2018/4/11, 136, 100, 100, 50, 26
2018/4/12, 140, 103, 94, , 
2018/4/13, 146, , 84, , 
2018/4/14, 145, , , , 
2018/4/16, 107, 99, 75, 45, 46
2018/4/17, 138, 104, 19, 46, 55
2018/4/18, 151, 102, 62, , 44
2018/4/19, 146, 104, 62, , 44
2018/4/20, 150, , , , 
2018/4/23, 111, 92, 77, , 31
2018/4/24, 115, 90, 77, , 27
2018/4/25, 111, 82, 72, , 24
2018/4/26, 97, 72, 88, , 27
2018/4/27, 85, 71, 101, , 31
2018/4/28, 85, 69, 102, , 28
2018/4/29, 83, 62, 80, , 23
2018/4/30, 75, 78, 62, , 22
2018/5/1, 98, 90, 58, , 24
2018/5/2, 111, 78, 58, , 26
2018/5/3, 92, 78, 64, , 32
2018/5/4, 94, 81, 64, , 43
2018/5/5, 97, 93, 73, , 43
2018/5/6, 128, 99, 74, , 42
2018/5/7, 148, 92, 58, , 50
2018/5/8, 116, 89, 63, , 62
2018/5/9, 105, 102, 70, , 71
2018/5/10, 142, 123, 66, , 68
2018/5/11, 217, 112, 52, , 54
2018/5/12, 192, 86, 59, , 48
2018/5/13, 101, 82, 63, , 45
2018/5/14, 98, 74, 66, 46, 45
2018/5/15, 88, 86, 61, 93, 47
2018/5/16, 104, 103, 50, 67, 48
2018/5/17, 143, 97, 64, 63, 48
2018/5/18, 128, 90, 65, 53, 47
2018/5/19, 108, 100, 72, 53, 45
2018/5/20, 132, 103, 74, 42, 43
2018/5/21, 141, 98, 64, 37, 44
2018/5/22, 129, 92, 60, 46, 44
2018/5/23, 115, 98, 61, 35, 43
2018/5/24, 137, 121, 62, 38, 43
2018/5/25, 206, 111, 50, 47, 50
2018/5/26, 176, 109, 67, 62, 58
2018/5/27, 176, 120, 68, 55, 58
2018/5/28, 219, 113, 35, 39, 54
2018/5/29, 193, 87, 31, 33, 50
2018/5/30, 117, 75, 41, 35, 54
2018/5/31, 90, 87, 62, 50, 65
2018/6/1, 111, 81, 64, 71, 67
2018/6/2, 100, 63, 45, 70, 68
2018/6/3, 77, 48, 45, 57, 66
2018/6/4, 59, 60, 31, 72, 75
2018/6/5, 73, 70, 59, 77, 75
2018/6/6, 87, 58, 31, 65, 71
2018/6/7, 71, 51, 30, 54, 70
2018/6/8, 63, 40, 31, 46, 64
2018/6/9, 49, 37, 32, 35, 60
2018/6/10, 46, 58, 20, 30, 63
2018/6/11, 70, 69, 27, 28, 61
2018/6/12, 82, 75, 30, 27, 56
2018/6/13, 89, 79, 30, 28, 54
2018/6/14, 93, 67, 31, 32, 52
2018/6/15, 79, 57, 30, 35, 46
2018/6/16, 69, 51, 30, 40, 48
2018/6/17, 62, 37, 28, 46, 53
2018/6/18, 46, 25, 49, 57, 56
2018/6/19, 31, 39, 51, 68, 60
2018/6/20, 49, 76, 35, 76, 60
2018/6/21, 96, 66, 31, 66, 53
2018/6/22, 81, 47, 29, 49, 49
2018/6/23, 57, 37, 30, 44, 47
2018/6/24, 45, 31, 22, 47, 46
2018/6/25, 38, 40, 17, 48, 48
2018/6/26, 48, 46, 20, 45, 46
2018/6/27, 57, 47, 23, 38, 44
2018/6/28, 58, 48, 10, 61, 51
2018/6/29, 58, 45, 23, 51, 45
2018/6/30, 53, 42, 23, 50, 38
2018/1/1, 148, 110, 72, 85, 30
2018/1/2, 146, 113, 72, 95, 36
2018/1/3, 155, 114, 64, 93, 48
2018/1/4, 145, 126, 63, 102, 73
2018/1/5, 163, 117, 60, 101, 78
2018/1/6, 130, 88, 63, 86, 60
2018/1/7, 89, 80, 63, 87, 59
2018/1/8, 77, 103, 60, 115, 75
2018/1/9, 105, 106, 70, 139, 70
2018/1/10, 117, 84, 71, 145, 70
2018/1/11, 85, 72, 60, 92, 68
2018/1/12, 72, 152, 53, 62, 65
2018/1/13, 260, 158, 46, 60, 86
2018/1/14, 289, 136, 41, 55, 51
2018/1/15, 227, 133, 46, 56, 44
2018/1/16, 210, 118, 46, 55, 36
2018/1/17, 162, 98, 48, 51, 26
2018/1/18, 110, 83, 48, 58, 28
2018/1/19, 89, 103, 21, 49, 71
2018/1/20, 125, 117, 21, 38, 67
2018/1/21, 140, 111, 31, 38, 63
2018/1/22, 119, 97, 42, 33, 54
2018/1/23, 97, 96, 42, 33, 50
2018/1/24, 91, 104, 27, , 64
2018/1/25, 98, 108, 31, , 48
2018/1/26, 106, 105, 37, , 42
2018/1/27, 100, 102, 37, , 39
2018/1/28, 95, 108, 35, , 42
2018/1/29, 108, 131, 35, , 62
2018/1/30, 171, 137, 46, 34, 59
2018/1/31, 190, 126, 47, 41, 43
2018/2/1, 161, 116, 61, 46, 32
2018/2/2, 136, 106, 95, 46, 30
2018/2/3, 111, 114, 101, 47, 32
2018/2/4, 122, 121, 101, , 32
2018/2/5, 149, 119, 57, , 32
2018/2/6, 144, 117, 76, , 29
2018/2/7, 138, 89, 76, , 27
2018/2/8, 93, 68, 55, 47, 41
2018/2/9, 68, 63, 54, 47, 46
2018/2/10, 61, 83, 66, , 49
2018/2/11, 79, 81, 66, , 48
2018/2/12, 79, 63, 54, , 52
2018/2/13, 62, 75, 54, , 56
2018/2/14, 72, 97, 60, , 63
2018/2/15, 95, 109, 60, , 67
