date, pm25, pm10, o3, no2, co
2020/9/1, 68, 65, 21, 7, 12
2020/9/2, 89, 72, 14, 4, 12
2020/9/3, 119, 69, 16, 5, 12
2020/9/4, 124, 66, 16, 8, 14
2020/9/5, 108, 65, 27, 7, 13
2020/9/6, 127, 85, 21, 11, 16
2020/9/7, 142, 70, 19, 7, 12
2020/9/8, 108, 84, 21, 6, 14
2020/9/9, 142, 79, 21, 8, 14
2020/9/10, 144, 107, 28, 10, 15
2020/9/11, 147, 104, 40, 7, 14
2020/9/12, 154, 101, 23, 5, 13
2020/9/13, 157, 120, 24, 7, 15
2020/9/14, 168, 111, 35, 4, 13
2020/9/15, 161, 117, 6, 5, 14
2020/9/16, 157, 95, 7, 3, 12
2020/9/17, 135, 91, 9, 4, 13
2020/9/18, 128, 99, 10, 3, 13
2020/9/19, 149, 117, 12, 3, 14
2020/9/20, 163, 117, 25, 3, 15
2020/9/21, 166, 70, 29, 3, 13
2020/9/22, 100, 55, 6, 2, 12
2020/9/23, 76, 72, 22, 3, 14
2020/9/24, 115, 93, 19, 4, 16
2020/9/25, 130, 123, 15, 8, 20
2020/9/26, 144, 85, 25, 5, 15
2020/9/27, 111, 134, 26, 6, 18
2020/9/28, 152, 135, 24, 4, 9
2020/9/29, 155, 120, 24, 4, 4
2020/9/30, 145, 128, 25, 6, 6
2020/4/1, 40, 44, 90, 2, 12
2020/4/3, 98, 44, 28, 4, 13
2020/4/4, 71, 68, 53, 4, 14
2020/4/6, 61, 58, 63, 3, 13
2020/4/7, 108, 55, 39, 3, 13
2020/4/8, 91, 49, 60, 5, 13
2020/4/9, 100, 65, 34, 5, 15
2020/4/10, 117, 88, 36, 5, 17
2020/4/11, 152, 63, 28, 5, 14
2020/4/12, 111, 84, 30, 7, 22
2020/4/13, 142, 75, 31, 7, 51
2020/4/14, 55, 114, 30, 7, 
2020/4/15, 170, 190, 35, 8, 1
2020/4/16, 119, 60, 28, 5, 
2020/4/17, 96, 66, 29, 6, 
2020/4/18, 135, 58, 110, 7, 
2020/4/19, 114, 52, 22, 6, 
2020/4/20, 90, 57, 30, 6, 
2020/4/21, 103, 80, 34, 8, 
